PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§W .g@ .n@n	1371	A	ADJ	Open	eigenen
§je .dOx	1366	C	CONJ	Closed	jedoch
§je .dOx	1366	ADV	ADV	Open	jedoch
§zakt	1365	V	VERB	Open	sagt
§m/ç .t@	1365	V	VERB	Open	moechte
§fil	1364	PRON	PRO	Closed	viel
§fil	1364	ADV	ADV	Open	viel
§gu .t@	1362	A	ADJ	Open	gute
.da §r&n	1361	ADV	ADV	Open	daran
§zEl .bɐ	1360	PRON	PRO	Closed	selber
§vWt	1355	A	ADJ	Open	weit
§blWpt	1351	V	VERB	Open	bleibt
§glB .b@	1344	V	VERB	Open	glaube
§bIlt	1344	N	NOM	Open	Bild
§hE .t@n	1343	V	VERB	Open	haetten
§zW .@n	1336	V	VERB	Open	seien
§z& .ç@	1334	N	NOM	Open	Sache
§mW .nUN	1311	N	NOM	Open	Meinung
§zit	1309	V	VERB	Open	sieht
§frW .hWt	1309	N	NOM	Open	Freiheit
§v& .rUm	1302	ADV	ADV	Open	warum
§frB .@n	1299	N	NOM	Open	Frauen
§=en	1296	NUM	DET	Open	zehn
§fi .l@n	1296	PRON	PRO	Closed	vielen
§brI .N@n	1290	V	VERB	Open	bringen
§lEn .dɐ	1290	N	NOM	Open	Laender
§bW .d@	1289	PRON	PRO	Closed	beide
.Ok §to .bɐ	1282	N	NOM	Open	Oktober
§m)t .ç@n	1275	N	NOM	Open	Maedchen
§fIn .d@n	1274	V	VERB	Open	finden
§iɐ	1272	PRON	PRO	Closed	ihr
§iɐ	1272	PRON	PRO	Closed	ihr
§iɐ	1272	PRON	PRO	Closed	ihr
§iɐ	1272	PRON	PRO	Closed	ihr
§iɐ	1272	PRON	PRO	Closed	ihr
§ja .r@s	1268	N	NOM	Open	Jahres
§pl&=	1265	N	NOM	Open	Platz
.Eɐ §h&l .t@n	1264	V	VERB	Open	erhalten
§hIl .f@	1263	N	NOM	Open	Hilfe
§Bf .ga .b@	1261	N	NOM	Open	Aufgabe
§ve .nI .gɐ	1260	PRON	PRO	Closed	weniger
§kIn .dɐ	1259	N	NOM	Open	Kinder
§mIt .vOx	1253	N	NOM	Open	Mittwoch
§Oft	1253	ADV	ADV	Open	oft
§de .n@n	1249	PRON	PRO	Closed	denen
§de .n@n	1249	PRON	PRO	Closed	denen
§zI .çɐ	1242	A	ADJ	Open	sicher
§lEn .dɐn	1234	N	NOM	Open	Laendern
§fr&Nk .rWç	1232	N	NOM	Open	Frankreich
.po §li .tI .S@	1230	A	ADJ	Open	politische
§zOl .t@n	1228	V	VERB	Open	sollten
.b@ §f/l .k@ .rUN	1224	N	NOM	Open	Bevoelkerung
§m&x .t@	1223	V	VERB	Open	machte
§Stra .s@	1218	N	NOM	Open	Strasse
§ta .g@n	1216	N	NOM	Open	Tagen
§na .m@n	1210	N	NOM	Open	Namen
§je .d@	1203	PRON	PRO	Closed	jede
